Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
1 20835.740 20835.740 [33.170 46.903 37.292 3.603 1.271 1.938] 0.715550 
2 13202.106 13202.106 [0.013 0.048 0.017 0.485 0.000 0.000] 2.057899 
3 12229.590 12229.590 [100.000 0.010 0.010 0.010 0.000 0.000] 3.173731 
4 13033.190 12229.590 [0.010 0.010 100.000 0.010 0.000 0.000] 4.735197 
5 13033.187 12229.590 [0.010 100.000 0.010 0.010 0.000 0.000] 6.455630 
6 110469.160 12229.590 [0.010 0.010 0.010 0.010 0.000 3.000] 8.516531 
7 10595.328 10595.328 [0.013 19.974 14.318 0.027 2.263 0.000] 10.028979 
8 13854.503 10595.328 [83.330 81.692 26.740 0.030 0.000 0.003] 11.501491 
9 15698.885 10595.328 [57.939 0.023 0.190 7.062 1.556 0.002] 12.872051 
10 13797.491 10595.328 [100.000 100.000 100.000 10.000 0.077 0.000] 15.255963 
11 12307.090 10595.328 [0.010 100.000 0.010 10.000 3.000 0.000] 17.071801 
12 13215.106 10595.328 [0.010 100.000 100.000 10.000 0.000 0.000] 18.612312 
13 24160.265 10595.328 [100.000 0.010 100.000 0.010 3.000 0.000] 20.303860 
14 13755.388 10595.328 [100.000 100.000 0.010 10.000 0.000 0.000] 22.105423 
15 24160.262 10595.328 [100.000 100.000 0.010 0.010 3.000 0.000] 24.210387 
16 13735.733 10595.328 [100.000 0.010 43.250 10.000 0.000 0.000] 27.117996 
17 12309.098 10595.328 [0.010 0.010 100.000 10.000 3.000 0.000] 28.883836 
18 13952.461 10595.328 [1.111 100.000 100.000 0.010 0.000 0.000] 31.680727 
19 19517.683 10595.328 [0.010 1.379 1.181 2.743 0.030 0.000] 34.995293 
20 12232.487 10595.328 [100.000 0.010 0.010 10.000 0.000 0.000] 36.386775 
21 10977.551 10595.328 [0.010 0.010 0.010 10.000 3.000 0.000] 37.869804 
22 22113.590 10595.328 [100.000 0.010 0.010 10.000 3.000 0.000] 39.925487 
23 12486.508 10595.328 [0.010 100.000 100.000 10.000 3.000 0.000] 42.191493 
24 13961.297 10595.328 [100.000 100.000 100.000 10.000 0.000 0.000] 44.667665 
25 13942.927 10595.328 [100.000 100.000 0.158 0.010 0.000 0.000] 47.103272 
26 12484.075 10595.328 [0.010 100.000 100.000 0.010 3.000 0.000] 49.438027 
27 11486.860 10595.328 [0.010 0.010 0.027 0.010 3.000 0.000] 52.835751 
28 24429.597 10595.328 [100.000 100.000 100.000 10.000 3.000 0.005] 55.536448 
29 20552.873 10595.328 [100.000 0.010 100.000 10.000 3.000 3.000] 61.125209 
30 13035.518 10595.328 [0.010 100.000 0.010 10.000 0.000 0.000] 64.225703 
31 13755.519 10595.328 [100.000 0.010 100.000 0.010 0.000 0.000] 68.114886 
32 12126.529 10595.328 [0.068 0.010 0.010 10.000 0.000 0.000] 72.112148 
33 12304.634 10595.328 [0.010 100.000 0.010 0.010 3.000 0.000] 75.485513 
34 12306.113 10595.328 [0.010 0.010 100.000 0.010 3.000 0.000] 80.632215 
35 13780.745 10595.328 [3.061 0.105 0.110 0.155 0.000 0.000] 85.465383 
36 31492.781 10595.328 [0.010 100.000 100.000 10.000 3.000 3.000] 89.202624 
37 13880.297 10595.328 [100.000 100.000 100.000 0.010 0.003 0.000] 92.327749 
38 12475.239 10595.328 [0.010 2.077 1.654 0.010 3.000 0.000] 95.644006 
39 13302.375 10595.328 [100.000 0.010 100.000 10.000 0.035 0.000] 99.498946 
40 14963.193 10595.328 [100.000 100.000 0.010 10.000 3.000 3.000] 105.400236 
41 14369.703 10595.328 [0.538 100.000 100.000 0.490 0.019 0.000] 109.130914 
42 11444.112 10595.328 [0.010 100.000 2.404 0.117 3.000 0.000] 113.415889 
43 13465.515 10595.328 [100.000 100.000 1.178 0.010 3.000 3.000] 117.814411 
44 15625.067 10595.328 [0.067 0.010 0.010 0.213 0.009 0.000] 121.312552 
45 11480.332 10595.328 [0.010 100.000 15.739 0.010 3.000 0.005] 126.248848 
46 13901.216 10595.328 [100.000 1.681 100.000 0.988 0.002 0.000] 131.123500 
47 13352.504 10595.328 [100.000 100.000 0.526 10.000 0.008 0.005] 136.128221 
48 8429.032 8429.032 [0.010 5.652 100.000 0.069 3.000 0.001] 140.091966 
49 20223.702 8429.032 [100.000 100.000 100.000 0.010 0.022 3.000] 145.127190 
50 9698.995 8429.032 [0.010 100.000 0.010 0.297 3.000 0.006] 150.334346 
51 49888.635 8429.032 [100.000 100.000 0.010 0.010 3.000 0.506] 156.970208 
52 19388.942 8429.032 [100.000 100.000 74.646 0.010 3.000 3.000] 162.229661 
53 15445.553 8429.032 [0.010 100.000 0.010 10.000 3.000 0.040] 169.059226 
54 8327.423 8327.423 [100.000 100.000 0.483 10.000 3.000 3.000] 176.967421 
55 24414.127 8327.423 [100.000 100.000 0.133 10.000 3.000 0.000] 183.117235 
56 17413.662 8327.423 [100.000 100.000 4.161 10.000 0.000 3.000] 191.440871 
57 13036.058 8327.423 [0.010 0.010 100.000 10.000 0.000 0.000] 196.981918 
58 12121.194 8327.423 [0.010 0.853 0.010 0.267 3.000 0.000] 207.641313 
59 13212.800 8327.423 [0.010 100.000 100.000 0.010 0.000 0.000] 214.331285 
60 6287.246 6287.246 [100.000 1.231 0.341 10.000 3.000 3.000] 226.750130 
61 15417.004 6287.246 [0.010 0.010 1.229 10.000 3.000 0.012] 239.334949 
62 6531.259 6287.246 [100.000 9.656 0.405 10.000 0.201 3.000] 250.877278 
63 9526.523 6287.246 [100.000 0.191 2.445 10.000 0.026 0.068] 260.941183 
